author,title,source,type,doi
"Barrantes Jimenez, Kenia; McCoy, Clyde B.; Achi, Rosario",DETECTION OF SHIGELLA IN LETTUCE BY THE USE OF A RAPID MOLECULAR ASSAY WITH INCREASED SENSITIVITY,BRAZILIAN JOURNAL OF MICROBIOLOGY,J,https://doi.org/10.1590/S1517-83822010000400018
"Auerswald, L; Morren, C; Lopata, AL",Histamine levels in seventeen species of fresh and processed South African seafood,FOOD CHEMISTRY,J,https://doi.org/10.1016/j.foodchem.2005.05.071
"Ahmari, Niousha; Geis, Natalie; Singh, Arashdeep; de Lartigue, Guillaume; Zubcevic, Jasenka",Reduced responsiveness of bone marrow hematopoietic cells to sympathetic activation is protective against high fat diet-induced obesity and gut dysbiosis,FASEB JOURNAL,J,https://doi.org/10.1096/fasebj.2020.34.s1.06767
"Hewitt, Trevor L.; Haponski, Amanda E.; Foighil, Diarmaid O.",Evolution of diverse host infection mechanisms delineates an adaptive radiation of lampsiline freshwater mussels centered on their larval ecology,PEERJ,J,https://doi.org/10.7717/peerj.12287
"Hunt, Kevin; Dore, Bill; Keaveney, Sinead; Rupnik, Agnieszka; Butler, Francis",Estimating the distribution of norovirus in individual oysters,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,J,https://doi.org/10.1016/j.ijfoodmicro.2020.108785
"KIRKHAM, DS",SIGNIFICANCE OF THE RATIO BETWEEN THE WATERSOLUBLE AROMATIC AND NITROGEN CONSTITUENTS OF APPLE AND PEAR IN THE HOST PARASITE RELATIONSHIPS OF VENTURIA SPECIES,"NATURE",J,https://doi.org/10.1038/173690b0
"DISSANAIKE, A. S.; DISSANAIKE, G. A.; NILES, W. J.; SURENDRANATHAN, R.",Further studies on radioactive mosquitoes and filarial larvae using autoradiographic technique,EXPTL PARASITOL,J,https://doi.org/10.1016/0014-4894(57)90020-6
"SEDLOEV, N; ALERT, HJ; VOIGT, J; PIATKOWSKI, B",PROTOZOA POPULATION IN RUMEN OF FATTENING BULLS FED VARYING RATIONS AND EFFECT OF AN ARTIFICIAL PROTOZOA TRANSFER,ARCHIV FUR TIERERNAHRUNG-ARCHIVES OF ANIMAL NUTRITION,J,https://doi.org/10.1080/17450397609423286
"COOK, RJ; SNYDER, WC",INFLUENCE OF HOST EXUDATES ON GROWTH AND SURVIVAL OF GERMLINGS OF FUSARIUM SOLANI F PHASEOLI IN SOIL,PHYTOPATHOLOGY,J,NA
"DUBOS, RJ; SCHAEDLER, RW",EFFECT OF NUTRITION ON THE RESISTANCE OF MICE TO ENDOTOXIN AND ON THE BACTERICIDAL POWER OF THEIR TISSUES,JOURNAL OF EXPERIMENTAL MEDICINE,J,https://doi.org/10.1084/jem.110.6.935
"BUNTING, AH","AGRICULTURAL RESEARCH IN THE GROUNDNUT SCHEME, 1947-51","NATURE",J,https://doi.org/10.1038/168804a0
"Stephanson, Christopher Alexander; Coe, Natalie Ribarik",Impacts of Beech Bark Disease and Climate Change on American Beech,FORESTS,J,https://doi.org/10.3390/f8050155
"Wan, AM; Zhao, ZH; Chen, XM; He, ZH; Jin, SL; Jia, QZ; Yao, G; Yang, JX; Wang, BT; Li, GB; Bi, YQ; Yuan, ZY",Wheat stripe rust epidemic and virulence of Puccinia striiformis f. sp tritici in China in 2002,PLANT DISEASE,J,https://doi.org/10.1094/PDIS.2004.88.8.896
"Lyn, M. E.; Abbas, H. K.; Zablotowicz, R. M.; Johnson, B. J.",Delivery systems for biological control agents to manage aflatoxin contamination of pre-harvest maize,FOOD ADDITIVES AND CONTAMINANTS PART A-CHEMISTRY ANALYSIS CONTROL EXPOSURE & RISK ASSESSMENT,J,https://doi.org/10.1080/02652030802441521
"CLANCY, KM; PRICE, PW; CRAIG, TP","LIFE-HISTORY AND NATURAL ENEMIES OF AN UNDESCRIBED SAWFLY NEAR PONTANIA-PACIFICA (HYMENOPTERA, TENTHREDINIDAE) THAT FORMS LEAF GALLS ON ARROYO WILLOW, SALIX-LASIOLEPIS",ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,J,https://doi.org/10.1093/aesa/79.6.884
"Jiang, Haiying; Chen, Wu; Su, Li; Huang, Mingwei; Lin, Libo; Su, Qiao; Li, Guanyu; Ahmad, Hafiz Ishfaq; Li, Linmiao; Zhang, Xiujuan; Li, Huiming; Chen, Jinping","Impact of host intraspecies genetic variation, diet, and age on bacterial and fungal intestinal microbiota in tigers",MICROBIOLOGYOPEN,J,https://doi.org/10.1002/mbo3.1050
"Baxter, Nielson T.; Wan, Judy J.; Schubert, Alyxandria M.; Jenior, Matthew L.; Myers, Philip; Schloss, Patrick D.",Intra- and Interindividual Variations Mask Interspecies Variation in the Microbiota of Sympatric Peromyscus Populations,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,J,https://doi.org/10.1128/AEM.02303-14
"Narayanan, E. S.; Subba Rao, B. R.","Studies in insect parasitism. I-III. The effect of different hosts on the physiology, on the development and behaviour and on the sex-ratio of Microbracon gelechiae Ashmead (Hymenoptera: Braconidae).",Beitraege zur Entomologie Berlin,J,NA
"Ahmed, Shamon; Spence, J. David",Sex differences in the intestinal microbiome: interactions with risk factors for atherosclerosis and cardiovascular disease,BIOLOGY OF SEX DIFFERENCES,J,https://doi.org/10.1186/s13293-021-00378-z
"Weeks, P","Interactions between red-billed oxpeckers, Buphagus erythrorhynchus, and domestic cattle, Bos taurus, in Zimbabwe",ANIMAL BEHAVIOUR,J,https://doi.org/10.1006/anbe.1999.1265
"Philip, Mary; Chiu, Edison Y.; Abkowitz, Janis L.",Regulation of Flvcr by Macrophages in Response to Lipopolysaccharide,BLOOD,J,NA
"Liu, Han-Qing; Lu, Xiang-Bin; Li, Zi-Han; Tian, Chang-Yan; Song, Jie",The role of root-associated microbes in growth stimulation of plants under saline conditions,LAND DEGRADATION & DEVELOPMENT,J,https://doi.org/10.1002/ldr.3955
"SCHWAB, SM; MENGE, JA; TINKER, PB",REGULATION OF NUTRIENT TRANSFER BETWEEN HOST AND FUNGUS IN VESICULAR ARBUSCULAR MYCORRHIZAS,NEW PHYTOLOGIST,J,https://doi.org/10.1111/j.1469-8137.1991.tb00002.x
"Mondal, Hossain Ali",Aphid saliva: a powerful recipe for modulating host resistance towards aphid clonal propagation,ARTHROPOD-PLANT INTERACTIONS,J,https://doi.org/10.1007/s11829-020-09769-2
"Kanetis, Loukas; Foerster, Helga; Adaskaveg, James E.","Comparative efficacy of the new postharvest fungicides azoxystrobin, fludioxonil, and pyrimethanil for managing citrus green mold",PLANT DISEASE,J,https://doi.org/10.1094/PDIS-91-11-1502
"POLACHECK, I; HEARING, VJ; KWONCHUNG, KJ",BIOCHEMICAL-STUDIES OF PHENOLOXIDASE AND UTILIZATION OF CATECHOLAMINES IN CRYPTOCOCCUS-NEOFORMANS,JOURNAL OF BACTERIOLOGY,J,https://doi.org/10.1128/JB.150.3.1212-1220.1982
"WINTER, AG",ZUR VERBREITUNG UND BEDEUTUNG DER MYKORRHIZA BEI LANDWIRTSCHAFTLICHEN KULTURPFLANZEN,"NATURWISSENSCHAFTEN",J,https://doi.org/10.1007/BF00589345
"Zovi, Daniel; Stastny, Michael; Battisti, Andrea; Larsson, Stig",Ecological costs on local adaptation of an insect herbivore imposed by host plants and enemies,ECOLOGY,J,https://doi.org/10.1890/07-0883.1
"Hatcher, PE; Moore, J; Taylor, JE; Tinney, GW; Paul, ND",Phytohormones and plant-herbivore-pathogen interactions: Integrating the molecular with the ecological,ECOLOGY,J,https://doi.org/10.1890/02-0724
"Panzenhagen, P. H. N.; Cabral, C. C.; Suffys, P. N.; Franco, R. M.; Rodrigues, D. P.; Conte-Junior, C. A.",Comparative genome analysis and characterization of the Salmonella Typhimurium strain CCRJ_26 isolated from swine carcasses using whole-genome sequencing approach,LETTERS IN APPLIED MICROBIOLOGY,J,https://doi.org/10.1111/lam.12859
"ORPIN, CG","OCCURRENCE OF CHITIN IN CELL-WALLS OF RUMEN ORGANISMS NEOCALLIMASTIX-FRONTALIS, PIROMONAS-COMMUNIS AND SPHAEROMONAS-COMMUNIS",JOURNAL OF GENERAL MICROBIOLOGY,J,https://doi.org/10.1099/00221287-99-1-107
"SUKHDEO, MVK; METTRICK, DF",EFFECT OF SIZE OF TRICHINELLA-SPIRALIS (NEMATODE) INFECTIONS ON GLUCOSE AND ION-TRANSPORT IN THE RAT INTESTINE,JOURNAL OF PARASITOLOGY,J,https://doi.org/10.2307/3281397
"Ferreira, F. V.; Herrmann-Andrade, A. M.; Calabrese, C. D.; Bello, F.; Vazquez, D.; Musumeci, M. A.","Effectiveness of Trichoderma strains isolated from the rhizosphere of citrus tree to control Alternaria alternata, Colletotrichum gloeosporioides and Penicillium digitatum A21 resistant to pyrimethanil in post-harvest oranges (Citrus sinensis L. (Osbeck))",JOURNAL OF APPLIED MICROBIOLOGY,J,https://doi.org/10.1111/jam.14657
"Hagen, NT; Andersen, A; Stabell, OB","Alarm responses of the green sea urchin, Strongylocentrotus droebachiensis, induced by chemically labelled durophagous predators and simulated acts of predation",MARINE BIOLOGY,J,https://doi.org/10.1007/s002270100694
"Maoela, Malebajoa A.; Jacobs, Shayne M.; Roets, Francois; Esler, Karen J.","Invasion, alien control and restoration: Legacy effects linked to folivorous insects and phylopathogenic fungi",AUSTRAL ECOLOGY,J,https://doi.org/10.1111/aec.12383
"Lin, MT; Saito, H; Fukushima, R; Inaba, T; Fukatsu, K; Inoue, T; Furukawa, S; Han, I; Muto, T","Route of nutritional supply influences local, systemic, and remote organ responses to intraperitoneal bacterial challenge",ANNALS OF SURGERY,J,https://doi.org/10.1097/00000658-199601000-00012
"CAMPANILE, SILVIA",The chemical composition of the spores of vegetable parasites of cereals.,Nuovi Annali dell'Agricoltura,J,NA
ORANEGUI F B; ATKINSON-M T H,THE BIOLOGY OF THE PEAR TREE BORER CORTHYLUS-FUSCUS COLEOPTERA SCOLYTIDAE IN THE NORTHERN PART OF THE STATE OF MORELOS MEXICO,Folia Entomologica Mexicana,J,NA
"Wu, Shengyong; Gao, Yulin; Xu, Xuenong; Wang, Dengjie; Li, Juan; Wang, Haihong; Wang, Endong; Lei, Zhongren",Feeding on Beauveria bassiana-treated Frankliniella occidentalis causes negative effects on the predatory mite Neoseiulus barkeri,SCIENTIFIC REPORTS,J,https://doi.org/10.1038/srep12033
"O'Sullivan, Maria",Vitamin D as a novel therapy in inflammatory bowel disease: new hope or false dawn?,PROCEEDINGS OF THE NUTRITION SOCIETY,J,https://doi.org/10.1017/S0029665114001621
"Sontowski, Rebekka; van Dam, Nicole M.","Functional Variation in Dipteran Gut Bacterial Communities in Relation to Their Diet, Life Cycle Stage and Habitat",INSECTS,J,https://doi.org/10.3390/insects11080543
"Bokshi, A. I.; Morris, S. C.; McConchie, R.","Environmentally-safe control of postharvest diseases of melons (Cucumis melo) by integrating heat treatment, safe chemicals, and systemic acquired resistance",NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,J,https://doi.org/10.1080/01140670709510183
"Zhang, Yan; He, Juan; Jia, Lei-Jie; Yuan, Ting-Lu; Zhang, Dong; Guo, Yan; Wang, Yufeng; Tang, Wei-Hua",Cellular Tracking and Gene Profiling of Fusarium graminearum during Maize Stalk Rot Disease Development Elucidates Its Strategies in Confronting Phosphorus Limitation in the Host Apoplast,PLOS PATHOGENS,J,https://doi.org/10.1371/journal.ppat.1005485
"BRENDEL, G.","Studies on hybrids of the genus Populus, section Aigeiros, and their influence on the biology of Cryptodiaporthe populea.",Phytopathologische Zeitschrift,J,NA
"Brenner, GJ; Oboyski, PT; Banko, PC","Parasitism of Cydia spp. (Lepidoptera : Tortricidae) on Sophora chrysophylla (Fabaceae) along an elevation gradient of dry subalpine forest on Mauna Kea, Hawaii",PAN-PACIFIC ENTOMOLOGIST,J,NA
"Brown, Jennifer R.; Miiller, Tyler; Kerby, Jacob L.",The interactive effect of an emerging infectious disease and an emerging contaminant on Woodhouse's toad (Anaxyrus woodhousii) tadpoles,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,J,https://doi.org/10.1002/etc.2266
"Bultman, TL; Leuchtmann, A",A test of host specialization by insect vectors as a mechanism for reproductive isolation among entomophilous fungal species,OIKOS,J,https://doi.org/10.1034/j.1600-0706.2003.12631.x
"Hafez, Yaser M.; Mourad, Rasha Y.; Nasr, El-Baghdady; Attia, Kotb; Abdelaal, Khaled A.; Ghazy, Abdelhalim, I; Al-Ateeq, Talal K.; Ibrahim, Eid I.; Mohammed, Arif A.",Biochemical and molecular characterization of non-host resistance keys in food crops,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,J,https://doi.org/10.1016/j.sjbs.2019.12.041
"Chia, T. W. R.; Goulter, R. M.; McMeekin, T.; Dykes, G. A.; Fegan, N.",Attachment of different Salmonella serovars to materials commonly used in a poultry processing plant,FOOD MICROBIOLOGY,J,https://doi.org/10.1016/j.fm.2009.05.012
"Scarsella, Elisa; Stefanon, Bruno; Cintio, Michela; Licastro, Danilo; Sgorlon, Sandy; Dal Monego, Simeone; Sandri, Misa",Learning machine approach reveals microbial signatures of diet and sex in dog,PLOS ONE,J,https://doi.org/10.1371/journal.pone.0237874
"Aarestrup, FM; Seyfarth, AM; Emborg, HD; Pedersen, K; Hendriksen, RS; Bager, F",Effect of abolishment of the use of antimicrobial agents for growth promotion on occurrence of antimicrobial resistance in fecal enterococci from food animals in Denmark,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,J,https://doi.org/10.1128/AAC.45.7.2054-2059.2001
"Sarfraz, R. M.; Dosdall, L. M.; Keddie, B. A.","Influence of the herbivore host's wild food plants on parasitism, survival and development of the parasitoid Diadegma insulare",BIOLOGICAL CONTROL,J,https://doi.org/10.1016/j.biocontrol.2012.03.004
"Schuster, E; Dunn-Coleman, N; Frisvad, JC; van Dijck, PWM",On the safety of Aspergillus niger - a review,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,J,https://doi.org/10.1007/s00253-002-1032-6
"Temperli, Christian; Hart, Sarah J.; Veblen, Thomas T.; Kulakowski, Dominik; Hicks, Julia J.; Andrus, Robert",Are density reduction treatments effective at managing for resistance or resilience to spruce beetle disturbance in the southern Rocky Mountains?,FOREST ECOLOGY AND MANAGEMENT,J,https://doi.org/10.1016/j.foreco.2014.08.028
"LUTTRELL, E. S.","Morenoella quercina, cause of leaf spot of oaks",MYCOLOGIA,J,NA
"KOHLER, ERICH",Further investigations on potato wart,ARB BIOL REICHSANST LAND U FORSTW,J,NA
"PALM, B.",Plant diseases from Guatemala.,"Zeitschrift fur Pflanzenkrankheiten, Pflanzenpathologie und Pflanzenschutz",J,NA
"Benatto Perino, Elvio Henrique; Glienke, Chirlei; Silva, Alan de Oliveira; Deising, Holger B.",Molecular Characterization of the Purine Degradation Pathway Genes ALA1 and URE1 of the Maize Anthracnose Fungus Colletotrichum graminicola Identified Urease as a Novel Target for Plant Disease Control,PHYTOPATHOLOGY,J,https://doi.org/10.1094/PHYTO-04-20-0114-R
"Slaughter, Lindsey C.; Carlisle, Anna E.; Nelson, Jim A.; McCulley, Rebecca L.","Fungal endophyte symbiosis alters nitrogen source of tall fescue host, but not nitrogen fixation in co-occurring red clover",PLANT AND SOIL,J,https://doi.org/10.1007/s11104-015-2510-9
"SHOU, J; LAPPIN, J; MINNARD, EA; DALY, JM","TOTAL PARENTERAL-NUTRITION, BACTERIAL TRANSLOCATION, AND HOST IMMUNE FUNCTION",AMERICAN JOURNAL OF SURGERY,J,https://doi.org/10.1016/0002-9610(94)90065-5
"Kulasooriya, S. A.; Magana-Arachchi, D. N.","Nitrogen fixing cyanobacteria: their diversity, ecology and utilisation with special reference to rice cultivation",JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,J,https://doi.org/10.4038/jnsfsr.v44i2.7992
"Maltz, Michele A.; Bomar, Lindsey; Lapierre, Pascal; Morrison, Hilary G.; McClure, Emily Ann; Sogin, Mitchell L.; Graf, Joerg",Metagenomic analysis of the medicinal leech gut microbiota,FRONTIERS IN MICROBIOLOGY,J,https://doi.org/10.3389/fmicb.2014.00151
"Porto-Fett, Anna C. S.; Call, Jeffrey E.; Shoyer, Bradley E.; Hill, Dolores E.; Pshebniski, Claudette; Cocoma, George J.; Luchansky, John B.","Evaluation of fermentation, drying, and/or high pressure processing on viability of Listeria monocytogenes, Escherichia coli O157:H7, Salmonella spp., and Trichinella spiralis in raw pork and Genoa salami",INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,J,https://doi.org/10.1016/j.ijfoodmicro.2010.02.008
"Burin, P. C.",Management Pratylenchus sp. in farming integration areas livestock.,REDVET,J,NA
"Khan, Shahid Ali; Chen, Hua; Deng, Ye; Chen, Yuhua; Zhang, Chong; Cai, Tiecheng; Ali, Niaz; Mamadou, Gandeka; Xie, Dongyang; Guo, Baozhu; Varshney, Rajeev K.; Zhuang, Weijian",High-density SNP map facilitates fine mapping of QTLs and candidate genes discovery for Aspergillus flavus resistance in peanut (Arachis hypogaea),THEORETICAL AND APPLIED GENETICS,J,https://doi.org/10.1007/s00122-020-03594-0
"WRIGHT, AC; SIMPSON, LM; OLIVER, JD",ROLE OF IRON IN THE PATHOGENESIS OF VIBRIO-VULNIFICUS INFECTIONS,INFECTION AND IMMUNITY,J,https://doi.org/10.1128/IAI.34.2.503-507.1981
"PERDIGON, G; DEMACIAS, MEN; ALVAREZ, S; OLIVER, G; HOLGADO, AAPD",EFFECT OF PERORALLY ADMINISTERED LACTOBACILLI ON MACROPHAGE ACTIVATION IN MICE,INFECTION AND IMMUNITY,J,https://doi.org/10.1128/IAI.53.2.404-410.1986
"Zhu, Xifang; Baranowski, Eric; Dong, Yaqi; Li, Xixi; Hao, Zhiyu; Zhao, Gang; Zhang, Hui; Lu, Doukun; Rasheed, Muhammad A.; Chen, Yingyu; Hu, Changmin; Chen, Huanchun; Sagne, Eveline; Citti, Christine; Guo, Aizhen",An emerging role for cyclic dinucleotide phosphodiesterase and nanoRNase activities inMycoplasma bovis: Securing survival in cell culture,PLOS PATHOGENS,J,https://doi.org/10.1371/journal.ppat.1008661
"Bateman, R",The use of narrow-angle cone nozzles to spray cocoa pods and other slender biological targets,CROP PROTECTION,J,https://doi.org/10.1016/j.cropro.2004.02.014
"LEE, JT; AHRENHOLZ, DH; NELSON, RD; SIMMONS, RL",MECHANISMS OF THE ADJUVANT EFFECT OF HEMOGLOBIN IN EXPERIMENTAL PERITONITIS .5. SIGNIFICANCE OF THE COORDINATED IRON COMPONENT,SURGERY,J,NA
"Wen, Jing; Ma, Lan; Xu, Yujuan; Wu, Jijun; Yu, Yuanshan; Peng, Jian; Tang, Daobang; Zou, Bo; Li, Lu",Effects of probiotic litchi juice on immunomodulatory function and gut microbiota in mice,FOOD RESEARCH INTERNATIONAL,J,https://doi.org/10.1016/j.foodres.2020.109433
"Ishihara, K; Yamamoto, T; Satake, S; Takayama, S; Kubota, S; Negishi, H; Kojima, A; Asai, T; Sawada, T; Takahashi, T; Tamura, Y",Comparison of Campylobacter isolated from humans and food-producing animals in Japan,JOURNAL OF APPLIED MICROBIOLOGY,J,https://doi.org/10.1111/j.1365-2672.2005.02769.x
"Tripet, F; Richner, H",Host responses to ectoparasites: Food compensation by parent blue tits,OIKOS,J,https://doi.org/10.2307/3545617
"Mauro, Vigano; Lorenzo, Mantovani; Paolo, Cozzolino; Sergio, Harari","Treat all COVID 19-positive patients, but do not forget those negative with chronic diseases",INTERNAL AND EMERGENCY MEDICINE,J,https://doi.org/10.1007/s11739-020-02395-z
"Northcutt, JK; Smith, DP; Musgrove, MT; Ingram, KD; Hinton, A",Microbiological impact of spray washing broiler carcasses using different chlorine concentrations and water temperatures,POULTRY SCIENCE,J,https://doi.org/10.1093/ps/84.10.1648
"VAN RENSBURG, L. C. J.; KARK, A. E.",Roundworm (Ascaris lumbricoides) infestation. Its surgical problems.,Medical Proceedings,J,NA
"LAWSON, JR; ROBERTS, MG; GEMMELL, MA; BEST, SJ","POPULATION-DYNAMICS IN ECHINOCOCCOSIS AND CYSTICERCOSIS - ECONOMIC-ASSESSMENT OF CONTROL STRATEGIES FOR ECHINOCOCCUS-GRANULOSUS, TAENIA-OVIS AND TAENIA-HYDATIGENA",PARASITOLOGY,J,https://doi.org/10.1017/S0031182000066841
"ALLEN, RUTH F.",A cytological study of Pucoinia glnmarum on Bromus marginatus and Triticum vulgare.,Journal of Agricultural Research,J,NA
"Raffa, KF; Krause, SC; Reich, PB",Long-term effects of defoliation on red pine suitability to insects feeding on diverse plant tissues,ECOLOGY,J,https://doi.org/10.2307/176827
"Cardot, Chloe; Mappa, Gaetan; La Camera, Sylvain; Gaillard, Cecile; Vriet, Cecile; Lecomte, Pascal; Ferrari, Gerald; Coutos-Thevenot, Pierre","Comparison of the Molecular Responses of Tolerant, Susceptible and Highly Susceptible Grapevine Cultivars During Interaction With the Pathogenic Fungus Eutypa lata",FRONTIERS IN PLANT SCIENCE,J,https://doi.org/10.3389/fpls.2019.00991
"Zeng, CongLi; Chen, QiXing; Zhang, Kai; Chen, QingHua; Song, ShengWen; Fang, XiangMing",Hepatic Hepcidin Protects against Polymicrobial Sepsis in Mice by Regulating Host Iron Status,ANESTHESIOLOGY,J,https://doi.org/10.1097/ALN.0000000000000466
"Strunz, Eric C.; Addiss, David G.; Stocks, Meredith E.; Ogden, Stephanie; Utzinger, Juerg; Freeman, Matthew C.","Water, Sanitation, Hygiene, and Soil-Transmitted Helminth Infection: A Systematic Review and Meta-Analysis",PLOS MEDICINE,J,https://doi.org/10.1371/journal.pmed.1001620
"AWAD, AB",TRANS FATTY-ACIDS IN TUMOR-DEVELOPMENT AND THE HOST SURVIVAL,JOURNAL OF THE NATIONAL CANCER INSTITUTE,J,NA
"Vagenas, D.; Doeschl-Wilson, A.; Bishop, S. C.; Kyriazakis, I.",In silico exploration of the effects of host genotype and nutrition on the genetic parameters of lambs challenged with gastrointestinal parasites,INTERNATIONAL JOURNAL FOR PARASITOLOGY,J,https://doi.org/10.1016/j.ijpara.2007.05.014
"USA, Pennsylvania Agricultural Experiment Station","Two years of research (for the biennium ending June 30,1921).",Bulletin of the Pennsylvania Agricultural Experiment Station,J,NA
"Sarkar, Debolina; Landa, Marine; Bandyopadhyay, Anindita; Pakrasi, Himadri B.; Zehr, Jonathan P.; Maranas, Costas D.",Elucidation of trophic interactions in an unusual single-cell nitrogen-fixing symbiosis using metabolic modeling,PLOS COMPUTATIONAL BIOLOGY,J,https://doi.org/10.1371/journal.pcbi.1008983
"Tefera, T; Pringle, KL",Mortality and maize leaf consumption of Chilo partellus (Lepidoptera : Pyralidae) larvae treated with Beauveria bassiana and Metarhizium anisopliae,INTERNATIONAL JOURNAL OF PEST MANAGEMENT,J,https://doi.org/10.1080/09670870310001626347
"SUBRAMANIAN, S.",Fusarium wilt of pigeon pea [Cajanus cajan]. I. Symptomatology and infection studies,PROC INDIAN ACAD SCI SECT B,J,NA
"Pegadaraju, V; Knepper, C; Reese, J; Shah, J",Premature leaf senescence modulated by the Arabidopsis PHYTOALEXIN DEFICIENT4 gene is associated with defense against the phloem-feeding green peach aphid,PLANT PHYSIOLOGY,J,https://doi.org/10.1104/pp.105.070433
"FINNEY, GL",MASS-CULTURING CHRYSOPA-CALIFORNICA TO OBTAIN EGGS FOR FIELD DISTRIBUTION,JOURNAL OF ECONOMIC ENTOMOLOGY,J,https://doi.org/10.1093/jee/43.1.97
"Buck, Julia C.; Rohr, Jason R.; Blaustein, Andrew R.",Effects of nutrient supplementation on host-pathogen dynamics of the amphibian chytrid fungus: a community approach,FRESHWATER BIOLOGY,J,https://doi.org/10.1111/fwb.12685
"CHRISTIE, JD; EDWARD, J; GOOLAMAN, K; JAMES, BO; SIMON, J; DUGAT, PS; TREINEN, R","INTERACTIONS BETWEEN ST LUCIAN BIOMPHALARIA-GLABRATA AND HELISOMA-DURYI, A POSSIBLE COMPETITOR SNAIL, IN A SEMI-NATURAL HABITAT",ACTA TROPICA,J,NA
"Nieman, DC","Exercise immunology: Future directions for research related to athletes, nutrition, and the elderly",INTERNATIONAL JOURNAL OF SPORTS MEDICINE,J,NA
"Siegfried, BD; Zoerb, AC; Spencer, T",Development of European corn borer larvae on Event 176 Bt corn: influence on survival and fitness,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,J,https://doi.org/10.1046/j.1570-7458.2001.00843.x
"Blanco, J; Blanco, M; Blanco, JE; Mora, A; Gonzalez, EA; Bernardez, MI; Alonso, MP; Coira, A; Rodriguez, A; Rey, J; Alonso, JA; Usera, MA","Verotoxin-producing Escherichia coli in Spain: Prevalence, serotypes, and virulence genes of O157 : H7 and non-O157 VTEC in ruminants, raw beef products, and humans",EXPERIMENTAL BIOLOGY AND MEDICINE,J,https://doi.org/10.1177/153537020322800403
"Diminic, Danko; Potocic, Nenad; Jazbec, Anamarija; Zupanic, Miljenko",Infestation of Common Mistletoe and Nutrition Status of Silver Fir in Gorski Kotar (Croatia),CROATIAN JOURNAL OF FOREST ENGINEERING,J,NA
"Schmid, Daniela; Luckner-Hornischer, Anita; Holzhammer, Gerda; Rokita, Dietmar; Federspiel, Martin; Lassnig, Heimo; Pichler, Anna-Margareta; Lederer, Ingeborg; Beranek, Andreas; Kornschober, Christian; Berghold, Christian; Allerberger, Franz","Lessons learned from a Salmonella enteritidis phage type 4 outbreak in Austria, 2005",JOURNAL OF FOOD PROTECTION,J,https://doi.org/10.4315/0362-028X-70.1.35
"Vaz-Velho, M; Todorov, S; Ribeiro, J; Gibbs, P",Growth control of Listeria innocua 2030c during processing and storage of cold-smoked salmon-trout by Carnobacterium divergens V41 culture and supernatant,FOOD CONTROL,J,https://doi.org/10.1016/j.foodcont.2004.05.012
"Compson, Zacchaeus G.; Larson, Katherine C.; Zinkgraf, Matthew S.; Whitham, Thomas G.",A genetic basis for the manipulation of sink-source relationships by the galling aphid Pemphigus batae,OECOLOGIA,J,https://doi.org/10.1007/s00442-011-2033-x
"BINGHAM, FT; ZENTMYER, GA",RELATION OF HYDROGEN-ION CONCENTRATION OF NUTRIENT SOLUTION TO PHYTOPHTHORA ROOT ROT OF AVOCADO SEEDLINGS,PHYTOPATHOLOGY,J,NA
"FAILLA, ML; CRAFT, NE; WEINBERG, GA",DEPRESSED RESPONSE OF PLASMA IRON AND ZINC TO ENDOTOXIN AND LEM IN STZ-DIABETIC RAT (41585),PROCEEDINGS OF THE SOCIETY FOR EXPERIMENTAL BIOLOGY AND MEDICINE,J,NA
"MEHNERT, B; KOCH, U",UBER DAS VORKOMMEN VON IM VERDAUUNGSTRAKT DES SCHWEINES VERMEHRUNGSFAHIGER HEFEN,ZENTRALBLATT FUR BAKTERIOLOGIE PARASITENKUNDE INFEKTIONSKRANKHEITEN UND HYGIENE ABTEILUNG 1,J,NA
HALL R,PATHOGENICITY OF MONILINIA-FRUCTICOLA PART 3 FACTORS INFLUENCING LESION EXPANSION,Phytopathologische Zeitschrift,J,https://doi.org/10.1111/j.1439-0434.1972.tb02522.x
"Aroca, R.; Ruiz-Lozano, J. M.",Induction of Plant Tolerance to Semi-arid Environments by Beneficial Soil Microorganisms - A Review,"Climate Change, Intercropping, Pest Control and Beneficial Microorganisms",B,https://doi.org/10.1007/978-90-481-2716-0_7
"Hazard, Christina; Kruitbos, Laura; Davidson, Hazel; Taylor, Andy F. S.; Johnson, David","Contrasting effects of intra- and interspecific identity and richness of ectomycorrhizal fungi on host plants, nutrient retention and multifunctionality",NEW PHYTOLOGIST,J,https://doi.org/10.1111/nph.14184
